VehicleAge,Make,VehOdo,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,WarrantyCost,IsBadBuy
0.333333,CHEVROLET,0.596635,0.195005,0.214492,0.081865,0
0.222222,KIA,0.417127,0.182955,0.199313,0.006111,0
0.333333,DODGE,0.648126,0.26176,0.319511,0.165009,0
0.888889,FORD,0.642418,0.315447,0.376158,0.141131,0
0.444444,DODGE,0.537316,0.202897,0.232394,0.134878,0
0.333333,CHEVROLET,0.329483,0.182304,0.203245,0.123081,0
0.333333,DODGE,0.762201,0.272876,0.289234,0.147953,0
0.333333,CHEVROLET,0.56317,0.221113,0.241578,0.176379,0
0.333333,FORD,0.513364,0.177411,0.198873,0.037806,1
0.444444,SUZUKI,0.757602,0.105507,0.12534,0.018761,1
0.777778,CHEVROLET,0.761002,0.132634,0.164416,0.282831,0
0.666667,HONDA,0.732542,0.195882,0.240973,0.037095,0
0.555556,CHRYSLER,0.619819,0.081775,0.101114,0.131751,1
0.333333,CHRYSLER,0.64396,0.224592,0.250901,0.098493,0
0.444444,NISSAN,0.5773,0.299777,0.353004,0.037806,0
1,MAZDA,0.793637,0.146607,0.179843,0.167567,0
0.444444,CHRYSLER,0.679283,0.229429,0.260195,0.147953,0
0.222222,CHRYSLER,0.446218,0.161259,0.19065,0.112138,0
0.111111,DODGE,0.352388,0.21554,0.223979,0.032831,0
0.333333,DODGE,0.447517,0.152491,0.172941,0.088687,0
0.555556,FORD,0.539444,0.084038,0.114946,0.051592,0
0.333333,SATURN,0.566966,0.271943,0.325175,0.107021,0
0.555556,PONTIAC,0.689924,0.12972,0.149869,0.018761,0
0.111111,CHRYSLER,0.341341,0.233361,0.236079,0.052871,0
0.444444,CHEVROLET,0.5785,0.136339,0.157294,0.037806,0
0.555556,CHEVROLET,0.702161,0.238282,0.26454,0.111001,0
0.222222,CHEVROLET,0.736645,0.224139,0.252001,0.240193,0
0.333333,CHEVROLET,0.545278,0.186915,0.200907,0.093235,0
0.555556,CHEVROLET,0.73274,0.210788,0.250351,0.240193,0
0.222222,DODGE,0.368151,0.208582,0.212595,0.032831,0
0.444444,DODGE,0.664151,0.109071,0.131115,0.165009,0
0.222222,CHEVROLET,0.546252,0.128759,0.147587,0.037806,0
0.444444,MITSUBISHI,0.695614,0.112126,0.129658,0.018761,0
0.333333,CHEVROLET,0.424323,0.216672,0.237454,0.147527,0
0.333333,CHEVROLET,0.749116,0.178344,0.20407,0.092524,0
0.555556,CHEVROLET,0.735707,0.116256,0.189578,0.111001,1
0.444444,JEEP,0.669426,0.269312,0.300014,0.198266,1
0.444444,NISSAN,0.618034,0.153707,0.186718,0.015208,0
0.666667,DODGE,0.798011,0.054366,0.071167,0.166003,0
0.555556,JEEP,0.705281,0.205075,0.236464,0.203383,0
0.555556,DODGE,0.556091,0.079625,0.103231,0.023877,0
0.666667,PONTIAC,0.787992,0.076344,0.100701,0.309409,0
0.444444,NISSAN,0.709727,0.139253,0.163041,0.018761,0
0.666667,CHEVROLET,0.667415,0.056883,0.078675,0.29079,0
0.444444,CHEVROLET,0.507809,0.191469,0.214987,0.06552,0
0.444444,FORD,0.819599,0.100642,0.123855,0.124929,1
0.444444,DODGE,0.746456,0.131191,0.159934,0.184906,0
0.555556,TOYOTA,0.815072,0.289933,0.339282,0.043064,1
0.333333,FORD,0.61183,0.175233,0.216142,0.165009,1
0.333333,DODGE,0.502823,0.27084,0.328228,0.120949,0
0.444444,CHEVROLET,0.712558,0.169349,0.195188,0.240193,0
0.888889,PONTIAC,0.79793,0.078183,0.103204,0.311114,1
0.111111,CHEVROLET,0.764212,0.245665,0.270342,0.240193,0
0.666667,PONTIAC,0.649686,0.082086,0.102489,0.248152,1
0.333333,PONTIAC,0.498891,0.184652,0.218754,0.176379,1
0.333333,HYUNDAI,0.568643,0.22974,0.251781,0.037806,0
0.444444,CHEVROLET,0.627403,0.092213,0.114258,0.048465,0
0.222222,FORD,0.717599,0.292931,0.315826,0.129477,0
0.444444,CHEVROLET,0.476752,0.212514,0.252633,0.100483,0
0.222222,CHRYSLER,0.561384,0.214239,0.234676,0.079306,0
0.333333,CHEVROLET,0.667469,0.137301,0.164389,0.048465,0
0.444444,DODGE,0.562935,0.289763,0.323553,0.107021,0
1,CHEVROLET,0.785765,0.076684,0.094156,0.290506,0
0.555556,NISSAN,0.50643,0.191497,0.223319,0.010091,0
0.222222,CHEVROLET,0.637458,0.231098,0.261405,0.048465,0
0.222222,FORD,0.436803,0.172347,0.194143,0.041501,0
0.333333,FORD,0.761588,0.243629,0.27389,0.055571,1
0.333333,CHEVROLET,0.651832,0.146098,0.167194,0.115122,0
0.333333,CHEVROLET,0.646187,0.197013,0.224447,0.214895,0
0.666667,BUICK,0.613281,0.085792,0.112223,0.257533,1
0.888889,FORD,0.454424,0.041071,0.05552,0.178368,0
0.777778,DODGE,0.389117,0.161684,0.20836,0.075469,1
0.222222,JEEP,0.350079,0.263372,0.306449,0.032831,0
0.333333,GMC,0.63955,0.168048,0.177891,0.098493,0
0.444444,PONTIAC,0.58088,0.208299,0.245456,0.093235,0
0.555556,FORD,0.5886,0.182587,0.222109,0.048465,0
0.333333,CHRYSLER,0.504951,0.305915,0.349072,0.107021,1
0.444444,FORD,0.64405,0.170028,0.19725,0.14838,0
0.555556,CHEVROLET,0.804639,0.149153,0.177891,0.145395,0
0.333333,CHEVROLET,0.459113,0.109269,0.125258,0.029704,0
0.333333,DODGE,0.606762,0.14457,0.164086,0.131751,0
0.777778,NISSAN,0.724146,0.174582,0.193565,0.061399,0
0.444444,MITSUBISHI,0.611063,0.119028,0.139172,0.015208,0
0.444444,FORD,0.532771,0.14887,0.179541,0.120949,0
0.444444,CHEVROLET,0.68344,0.225978,0.276062,0.111001,0
0.555556,FORD,0.613813,0.081832,0.116706,0.14838,0
0.555556,GMC,0.41388,0.212825,0.251863,0.147527,0
0.444444,FORD,0.559292,0.310384,0.358889,0.037806,0
0.333333,CHEVROLET,0.469448,0.183549,0.20935,0.147527,0
0.666667,DODGE,0.700375,0.069244,0.090279,0.227544,0
0.555556,DODGE,0.807633,0.146975,0.166809,0.206936,0
0.333333,FORD,0.775737,0.241988,0.25871,0.124929,0
0.333333,PONTIAC,0.533853,0.29296,0.33942,0.107021,0
0.666667,FORD,0.711927,0.100699,0.123278,0.074048,1
0.555556,FORD,0.629441,0.20202,0.228351,0.131751,0
0.222222,DODGE,0.521156,0.28849,0.314808,0.023877,0
0.444444,KIA,0.562322,0.108194,0.140712,0.010091,0
0.222222,CHRYSLER,0.424566,0.144316,0.162519,0.088687,0
0.333333,CHEVROLET,0.564026,0.17396,0.197498,0.176379,0
0.777778,FORD,0.711936,0.126609,0.160786,0.24602,1
0.222222,CHEVROLET,0.505438,0.185161,0.211027,0.037806,0
0.888889,SATURN,0.595471,0.056799,0.071415,0.191018,0
0.555556,SUZUKI,0.377755,0.070829,0.089234,0.002843,0
0.333333,CHEVROLET,0.67444,0.170028,0.19065,0.214895,0
0.777778,CHEVROLET,0.866627,0.044834,0.071552,0.183059,0
0.222222,CHEVROLET,0.738015,0.208412,0.230964,0.240193,0
1,FORD,0.803394,0.09804,0.113048,0.065094,1
0.777778,CHEVROLET,0.460935,0.066246,0.091022,0.190165,0
0.777778,CHEVROLET,0.794936,0.047775,0.06795,0.352047,1
0.666667,FORD,0.412789,0.090601,0.112031,0.178368,1
0.444444,DODGE,0.68344,0.281504,0.33414,0.074048,0
0.333333,CHEVROLET,0.591044,0.216163,0.236051,0.214895,0
0.555556,CHRYSLER,0.73026,0.089214,0.117476,0.129477,0
0.555556,KIA,0.458888,0.053885,0.073697,0.006111,0
0.555556,BUICK,0.556839,0.136962,0.167276,0.490051,0
0.444444,HYUNDAI,0.718384,0.153481,0.184958,0.055571,0
0.333333,HYUNDAI,0.694613,0.174525,0.201595,0.018761,0
