Auction,VehicleAge,Make,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,IsBadBuy
MANHEIM,3,CHEVROLET,AUTO,Covers,70987,AMERICAN,MEDIUM,GM,8092,10134,0
MANHEIM,2,KIA,AUTO,Covers,51081,ASIAN,MEDIUM,OTHER,7563,9756,0
MANHEIM,3,DODGE,AUTO,Alloy,76697,AMERICAN,SPECIAL,CHRYSLER,13757,15255,0
MANHEIM,8,FORD,AUTO,Alloy,76064,AMERICAN,SMALL,FORD,3453,3430,0
MANHEIM,4,DODGE,AUTO,Covers,64409,AMERICAN,SPECIAL,CHRYSLER,7216,10423,0
OTHER,3,CHEVROLET,AUTO,Covers,41362,AMERICAN,LARGE,GM,8916,11369,0
ADESA,3,DODGE,AUTO,Covers,89347,AMERICAN,SPECIAL,CHRYSLER,10716,12895,0
OTHER,3,CHEVROLET,AUTO,Covers,67276,AMERICAN,LARGE,GM,9075,11537,0
MANHEIM,3,FORD,AUTO,Alloy,61753,AMERICAN,MEDIUM,FORD,8618,8420,1
MANHEIM,4,SUZUKI,AUTO,Covers,88837,ASIAN,MEDIUM,OTHER,5159,7281,1
MANHEIM,7,CHEVROLET,AUTO,Special,89214,AMERICAN,MEDIUM,GM,7185,10587,0
MANHEIM,6,HONDA,AUTO,Alloy,86058,ASIAN,SMALL,OTHER,9843,11224,0
MANHEIM,5,CHRYSLER,MANUAL,Covers,73558,AMERICAN,MEDIUM,CHRYSLER,5002,7246,1
MANHEIM,3,CHRYSLER,AUTO,Covers,76235,AMERICAN,MEDIUM,CHRYSLER,8308,10547,0
OTHER,4,NISSAN,AUTO,Alloy,68843,ASIAN,SPECIAL,OTHER,11070,10641,0
MANHEIM,9,MAZDA,MANUAL,Alloy,92833,ASIAN,SPECIAL,OTHER,8260,9214,0
MANHEIM,4,CHRYSLER,AUTO,Alloy,80152,AMERICAN,SPECIAL,CHRYSLER,9893,12147,0
MANHEIM,2,CHRYSLER,AUTO,NULL,54307,AMERICAN,SPECIAL,CHRYSLER,9999,9254,0
OTHER,1,DODGE,AUTO,Covers,43902,AMERICAN,MEDIUM,CHRYSLER,7894,8386,0
MANHEIM,3,DODGE,AUTO,Covers,54451,AMERICAN,MEDIUM,CHRYSLER,6413,6410,0
MANHEIM,5,FORD,AUTO,Alloy,64645,AMERICAN,MEDIUM,FORD,4487,6944,0
MANHEIM,3,SATURN,AUTO,Alloy,67697,AMERICAN,MEDIUM,GM,11767,14125,0
ADESA,5,PONTIAC,AUTO,Covers,81332,AMERICAN,MEDIUM,GM,6341,8444,0
OTHER,1,CHRYSLER,AUTO,Covers,42677,AMERICAN,MEDIUM,CHRYSLER,9419,12755,0
MANHEIM,4,CHEVROLET,AUTO,Alloy,68976,AMERICAN,SMALL,GM,6040,8677,0
ADESA,5,CHEVROLET,AUTO,Alloy,82689,AMERICAN,LARGE,GM,10507,10461,0
MANHEIM,2,CHEVROLET,AUTO,Alloy,86513,AMERICAN,LARGE,GM,9368,12131,0
MANHEIM,3,CHEVROLET,AUTO,Covers,65292,AMERICAN,MEDIUM,GM,8490,11199,0
MANHEIM,5,CHEVROLET,AUTO,Alloy,86080,AMERICAN,MEDIUM,GM,10549,12855,0
OTHER,2,DODGE,AUTO,Covers,45650,AMERICAN,MEDIUM,CHRYSLER,8580,11073,0
MANHEIM,4,DODGE,AUTO,Covers,78474,AMERICAN,SPECIAL,CHRYSLER,4697,4630,0
MANHEIM,2,CHEVROLET,MANUAL,Covers,65400,AMERICAN,SMALL,GM,6126,6165,0
OTHER,4,MITSUBISHI,AUTO,Covers,81963,ASIAN,SMALL,OTHER,5887,8262,0
OTHER,3,CHEVROLET,AUTO,Covers,51879,AMERICAN,LARGE,GM,8915,11337,0
MANHEIM,3,CHEVROLET,AUTO,Covers,87896,AMERICAN,MEDIUM,GM,8235,10490,0
ADESA,5,CHEVROLET,AUTO,NULL,86409,AMERICAN,LARGE,GM,7388,10519,1
OTHER,4,JEEP,AUTO,Alloy,79059,AMERICAN,MEDIUM,CHRYSLER,11404,11181,1
MANHEIM,4,NISSAN,AUTO,Alloy,73360,ASIAN,SMALL,OTHER,7451,9249,0
MANHEIM,6,DODGE,AUTO,Alloy,93318,AMERICAN,MEDIUM,CHRYSLER,3414,5652,0
MANHEIM,5,JEEP,AUTO,Alloy,83035,AMERICAN,MEDIUM,CHRYSLER,9875,12104,0
MANHEIM,5,DODGE,AUTO,Alloy,66491,AMERICAN,SMALL,CHRYSLER,4778,6436,0
MANHEIM,6,PONTIAC,AUTO,Alloy,92207,AMERICAN,MEDIUM,GM,4354,6112,0
ADESA,4,NISSAN,AUTO,Alloy,83528,ASIAN,SMALL,OTHER,6940,9029,0
OTHER,6,CHEVROLET,AUTO,NULL,78836,AMERICAN,MEDIUM,GM,3416,3127,0
MANHEIM,4,CHEVROLET,AUTO,Alloy,61137,AMERICAN,MEDIUM,GM,8626,10452,0
ADESA,4,FORD,AUTO,NULL,95712,AMERICAN,SMALL,FORD,4896,4586,1
MANHEIM,4,DODGE,AUTO,Alloy,87601,AMERICAN,SPECIAL,CHRYSLER,5150,8098,0
MANHEIM,5,TOYOTA,AUTO,NULL,95210,ASIAN,LARGE,OTHER,12832,14897,1
MANHEIM,3,FORD,AUTO,Alloy,72672,AMERICAN,MEDIUM,FORD,6134,6313,1
MANHEIM,3,DODGE,AUTO,Alloy,60584,AMERICAN,MEDIUM,CHRYSLER,11985,13591,0
MANHEIM,4,CHEVROLET,AUTO,Covers,83842,AMERICAN,LARGE,GM,7234,9411,0
OTHER,8,PONTIAC,AUTO,Alloy,93309,AMERICAN,LARGE,GM,4183,5963,1
OTHER,1,CHEVROLET,AUTO,Covers,89570,AMERICAN,LARGE,GM,10397,13701,0
MANHEIM,6,PONTIAC,AUTO,Alloy,76870,AMERICAN,MEDIUM,GM,4954,7056,1
ADESA,3,PONTIAC,AUTO,NULL,60148,AMERICAN,LARGE,GM,8449,7949,1
ADESA,3,HYUNDAI,AUTO,Covers,67883,ASIAN,MEDIUM,OTHER,9509,12363,0
MANHEIM,4,CHEVROLET,AUTO,Covers,74399,AMERICAN,SMALL,GM,5351,7642,0
MANHEIM,2,FORD,AUTO,Alloy,84401,AMERICAN,MEDIUM,FORD,11608,14468,0
ADESA,4,CHEVROLET,AUTO,Alloy,57693,AMERICAN,MEDIUM,GM,11269,10507,0
MANHEIM,2,CHRYSLER,AUTO,Covers,67078,AMERICAN,MEDIUM,CHRYSLER,8761,11728,0
MANHEIM,3,CHEVROLET,AUTO,Covers,78842,AMERICAN,SMALL,GM,6129,5944,0
ADESA,4,DODGE,AUTO,Alloy,67250,AMERICAN,MEDIUM,CHRYSLER,12351,11861,0
MANHEIM,9,CHEVROLET,AUTO,Alloy,91960,AMERICAN,SMALL,GM,2781,4767,0
ADESA,5,NISSAN,AUTO,Alloy,60984,ASIAN,MEDIUM,OTHER,8615,8210,0
ADESA,2,CHEVROLET,AUTO,Alloy,75514,AMERICAN,MEDIUM,GM,11120,11801,0
MANHEIM,2,FORD,AUTO,Alloy,53263,AMERICAN,MEDIUM,FORD,6436,6355,0
MANHEIM,3,FORD,AUTO,Alloy,89279,AMERICAN,MEDIUM,FORD,11818,13954,1
ADESA,3,CHEVROLET,AUTO,Covers,77108,AMERICAN,MEDIUM,GM,6882,6670,0
MANHEIM,3,CHEVROLET,AUTO,Covers,76482,AMERICAN,LARGE,GM,8751,10660,0
MANHEIM,6,BUICK,AUTO,Alloy,72833,AMERICAN,MEDIUM,GM,3982,3691,1
OTHER,8,FORD,AUTO,Alloy,55217,AMERICAN,SPECIAL,FORD,2037,2067,0
OTHER,7,DODGE,AUTO,Alloy,47975,AMERICAN,LARGE,CHRYSLER,6771,10131,1
OTHER,2,JEEP,AUTO,Covers,43646,AMERICAN,SMALL,CHRYSLER,11543,13775,0
ADESA,3,GMC,AUTO,Alloy,75746,AMERICAN,LARGE,GM,7371.82,8494.94,0
MANHEIM,4,PONTIAC,AUTO,Alloy,69240,AMERICAN,MEDIUM,GM,9281,8882,0
ADESA,5,FORD,AUTO,Alloy,70096,AMERICAN,LARGE,FORD,10567,12980,0
ADESA,3,CHRYSLER,AUTO,NULL,60820,AMERICAN,MEDIUM,CHRYSLER,13188,12579,1
MANHEIM,4,FORD,AUTO,Alloy,76245,AMERICAN,LARGE,FORD,6995,9786,0
OTHER,5,CHEVROLET,AUTO,Alloy,94053,AMERICAN,MEDIUM,GM,6294,8318,0
ADESA,3,CHEVROLET,AUTO,Alloy,55737,AMERICAN,SMALL,GM,5500,5469,0
MANHEIM,3,DODGE,AUTO,Covers,72110,AMERICAN,MEDIUM,CHRYSLER,6461,6418,0
OTHER,7,NISSAN,MANUAL,Alloy,85127,ASIAN,SMALL,OTHER,7545,9920,0
ADESA,4,MITSUBISHI,AUTO,Covers,72587,ASIAN,SMALL,OTHER,5342,5139,0
MANHEIM,4,FORD,AUTO,Alloy,63905,AMERICAN,LARGE,FORD,6663,9657,0
OTHER,4,CHEVROLET,AUTO,Alloy,80613,AMERICAN,MEDIUM,GM,11724,13492,0
OTHER,5,FORD,AUTO,Covers,72892,AMERICAN,SPECIAL,FORD,5885,8493,0
MANHEIM,5,GMC,AUTO,Alloy,50721,AMERICAN,MEDIUM,GM,9653,9024,0
ADESA,4,FORD,AUTO,Alloy,66846,AMERICAN,LARGE,FORD,13775,13265,0
MANHEIM,3,CHEVROLET,AUTO,Covers,56883,AMERICAN,LARGE,GM,8107,7907,0
MANHEIM,6,DODGE,AUTO,Alloy,82491,AMERICAN,SPECIAL,CHRYSLER,4098,4124,0
ADESA,5,DODGE,AUTO,Alloy,94385,AMERICAN,SPECIAL,CHRYSLER,6371,8422,0
OTHER,3,FORD,AUTO,Alloy,90848,AMERICAN,SMALL,FORD,9241,11507,0
MANHEIM,3,PONTIAC,AUTO,Alloy,64025,AMERICAN,MEDIUM,GM,11714,14653,0
MANHEIM,6,FORD,AUTO,Alloy,83772,AMERICAN,MEDIUM,FORD,3682,6052,1
MANHEIM,5,FORD,AUTO,Alloy,74625,AMERICAN,LARGE,FORD,11515,11019,0
OTHER,2,DODGE,MANUAL,Alloy,62617,AMERICAN,MEDIUM,CHRYSLER,13835,15655,0
MANHEIM,4,KIA,AUTO,Alloy,67182,ASIAN,MEDIUM,OTHER,6561,9019,0
MANHEIM,2,CHRYSLER,AUTO,Covers,51906,AMERICAN,MEDIUM,CHRYSLER,7172,7264,0
MANHEIM,3,CHEVROLET,AUTO,Covers,67371,AMERICAN,LARGE,GM,7718,10382,0
MANHEIM,7,FORD,AUTO,Alloy,83773,AMERICAN,MEDIUM,FORD,6456,8497,1
ADESA,2,CHEVROLET,AUTO,Covers,60874,AMERICAN,SMALL,GM,7502,9954,0
MANHEIM,8,SATURN,AUTO,Covers,70858,AMERICAN,MEDIUM,GM,3981,5810,0
MANHEIM,5,SUZUKI,AUTO,Covers,46715,ASIAN,MEDIUM,OTHER,4303,4306,0
OTHER,3,CHEVROLET,AUTO,Covers,79615,AMERICAN,LARGE,GM,8497,8265,0
MANHEIM,7,CHEVROLET,AUTO,Covers,100927,AMERICAN,SMALL,GM,3322,5034,0
MANHEIM,2,CHEVROLET,AUTO,Covers,86665,AMERICAN,LARGE,GM,8728,11656,0
MANHEIM,9,FORD,AUTO,Covers,93915,AMERICAN,SMALL,FORD,5434,7551,1
OTHER,7,CHEVROLET,AUTO,Covers,55939,AMERICAN,LARGE,GM,4294,6371,0
MANHEIM,7,CHEVROLET,AUTO,NULL,92977,AMERICAN,MEDIUM,GM,2965,2723,1
ADESA,6,FORD,AUTO,NULL,50600,AMERICAN,SPECIAL,FORD,4625,4414,1
MANHEIM,4,DODGE,AUTO,Alloy,80613,AMERICAN,LARGE,CHRYSLER,12909,15357,0
OTHER,3,CHEVROLET,AUTO,Covers,70367,AMERICAN,LARGE,GM,9012,11382,0
MANHEIM,5,CHRYSLER,AUTO,Alloy,85805,AMERICAN,MEDIUM,CHRYSLER,5295,7238,0
