@relation 'train_dataset_4_unbalanced_normalized-weka.filters.unsupervised.attribute.NumericToNominal-R1,3,4,5,7,8,9,18,20,22-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute Auction {MANHEIM,OTHER,ADESA}
@attribute VehicleAge numeric
@attribute Make {CHEVROLET,KIA,DODGE,FORD,SUZUKI,HONDA,CHRYSLER,NISSAN,MAZDA,SATURN,PONTIAC,MITSUBISHI,JEEP,TOYOTA,HYUNDAI,BUICK,GMC,MERCURY,SCION,ISUZU,OLDSMOBILE,VOLKSWAGEN,ACURA,INFINITI,VOLVO,MINI,SUBARU,LINCOLN,LEXUS,CADILLAC,PLYMOUTH}
@attribute Transmission {AUTO,MANUAL,NULL,Manual}
@attribute WheelType {Covers,Alloy,Special,NULL}
@attribute VehOdo numeric
@attribute Nationality {AMERICAN,ASIAN,OTHER,NULL}
@attribute Size {MEDIUM,SPECIAL,SMALL,LARGE,NULL}
@attribute TopThreeAmericanName {GM,OTHER,CHRYSLER,FORD,NULL}
@attribute MMRAcquisitionAuctionAveragePrice numeric
@attribute MMRAcquisitionAuctionCleanPrice numeric
@attribute MMRAcquisitionRetailAveragePrice numeric
@attribute MMRAcquisitonRetailCleanPrice numeric
@attribute MMRCurrentAuctionAveragePrice numeric
@attribute MMRCurrentAuctionCleanPrice numeric
@attribute MMRCurrentRetailAveragePrice numeric
@attribute MMRCurrentRetailCleanPrice numeric
@attribute VNST {VA,FL,TX,NC,IL,CA,AZ,CO,OK,PA,NJ,TN,IN,SC,MO,OR,GA,IA,KY,UT,MD,AL,WV,OH,AR,LA,NM,NH,MA,WA,NV,MS,MN,NE,ID,MI,NY}
@attribute VehBCost numeric
@attribute IsOnlineSale {0,1}
@attribute WarrantyCost numeric
@attribute IsBadBuy {0,1}

@data
MANHEIM,0.555556,SATURN,MANUAL,Alloy,0.600179,AMERICAN,MEDIUM,GM,0.141656,0.16125,0.202445,0.209016,0.098266,0.114863,0.159242,0.166933,GA,0.11648,0,0.048465,0
MANHEIM,0.444444,VOLKSWAGEN,AUTO,Alloy,0.577805,OTHER,SMALL,OTHER,0.16106,0.174608,0.161063,0.169463,0.176732,0.207562,0.176711,0.203632,TX,0.153833,0,0.107021,0
MANHEIM,0.222222,DODGE,AUTO,Covers,0.3509,AMERICAN,SPECIAL,CHRYSLER,0.258023,0.283626,0.25802,0.275264,0.234747,0.25761,0.314712,0.324023,FL,0.220471,0,0.072911,0
ADESA,0.555556,DODGE,AUTO,Covers,0.696822,AMERICAN,MEDIUM,CHRYSLER,0.036627,0.054719,0.095548,0.115419,0.070829,0.089234,0.13436,0.152918,TX,0.092167,0,0.111001,0
OTHER,0.333333,FORD,AUTO,Alloy,0.648514,AMERICAN,LARGE,FORD,0.154486,0.185563,0.154472,0.180085,0.166803,0.198598,0.166785,0.194839,SC,0.147533,0,0.14838,0
ADESA,0.222222,CHEVROLET,AUTO,Alloy,0.461133,AMERICAN,LARGE,GM,0.200098,0.231451,0.20008,0.224636,0.235001,0.266218,0.286897,0.311382,CA,0.168973,0,0.147527,0
MANHEIM,0.444444,FORD,AUTO,Covers,0.571033,AMERICAN,SPECIAL,FORD,0.072191,0.087863,0.072186,0.085284,0.136,0.159824,0.135984,0.15679,NC,0.109959,0,0.120949,0
ADESA,0.555556,SATURN,AUTO,Covers,0.588492,AMERICAN,MEDIUM,GM,0.120214,0.142749,0.197342,0.210347,0.134274,0.162986,0.201907,0.219971,FL,0.163005,0,0.165009,0
MANHEIM,0.333333,CHRYSLER,AUTO,Covers,0.535458,AMERICAN,MEDIUM,CHRYSLER,0.190625,0.211693,0.262671,0.270568,0.191667,0.215372,0.265001,0.273009,FL,0.166983,0,0.079306,0
OTHER,0.333333,FORD,AUTO,Alloy,0.51441,AMERICAN,SMALL,FORD,0.117601,0.145935,0.117581,0.141637,0.126241,0.148137,0.194285,0.212726,UT,0.132283,0,0.079306,0
MANHEIM,0.444444,CHEVROLET,AUTO,Alloy,0.68564,AMERICAN,MEDIUM,GM,0.241059,0.288796,0.241063,0.280286,0.217181,0.266053,0.314869,0.353727,TX,0.185881,0,0.240193,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.495726,AMERICAN,SMALL,GM,0.049371,0.06886,0.049355,0.066826,0.068509,0.090279,0.06849,0.088563,CO,0.093714,0,0.065094,0
ADESA,0.444444,CHRYSLER,AUTO,Alloy,0.59154,AMERICAN,MEDIUM,CHRYSLER,0.25854,0.306961,0.32497,0.340884,0.307951,0.353224,0.344386,0.363795,OH,0.193948,0,0.131751,0
MANHEIM,0.333333,CHEVROLET,AUTO,Alloy,0.637801,AMERICAN,MEDIUM,GM,0.170073,0.197328,0.170073,0.191512,0.176647,0.20649,0.268563,0.302663,TX,0.148417,0,0.048465,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.668524,AMERICAN,LARGE,GM,0.113612,0.141212,0.174352,0.191688,0.117925,0.143572,0.18593,0.202084,TX,0.142781,0,0.214895,0
MANHEIM,0.555556,DODGE,AUTO,Alloy,0.708861,AMERICAN,MEDIUM,CHRYSLER,0.057868,0.071235,0.109449,0.121472,0.079371,0.106394,0.146146,0.161037,MO,0.084542,0,0.111001,0
